Order Date,Ship Mode,Number of Records,Days to Ship Actual,Days to Ship Scheduled
4/1/2011,Standard Class,1,4,6
5/1/2011,Standard Class,1,4,6
5/1/2011,Standard Class,1,4,6
5/1/2011,Standard Class,1,4,6
6/1/2011,Standard Class,1,7,6
7/1/2011,First Class,1,1,1
7/1/2011,Second Class,1,2,3
7/1/2011,Standard Class,1,4,6
7/1/2011,Standard Class,1,4,6
7/1/2011,Standard Class,1,4,6
7/1/2011,Standard Class,1,4,6
7/1/2011,Standard Class,1,4,6
7/1/2011,Standard Class,1,4,6
7/1/2011,Standard Class,1,4,6
8/1/2011,Standard Class,1,5,6
8/1/2011,Standard Class,1,5,6
10/1/2011,Standard Class,1,4,6
10/1/2011,Standard Class,1,4,6
11/1/2011,Standard Class,1,5,6
11/1/2011,Standard Class,1,5,6
12/1/2011,First Class,1,3,1
14/1/2011,Second Class,1,2,3
14/1/2011,Second Class,1,2,3
14/1/2011,Second Class,1,2,3
14/1/2011,Second Class,1,2,3
14/1/2011,Second Class,1,2,3
14/1/2011,Second Class,1,3,3
14/1/2011,Standard Class,1,5,6
14/1/2011,Standard Class,1,5,6
14/1/2011,Standard Class,1,5,6
14/1/2011,Standard Class,1,5,6
14/1/2011,Standard Class,1,5,6
15/1/2011,First Class,1,1,1
16/1/2011,First Class,1,2,1
17/1/2011,Second Class,1,2,3
17/1/2011,Second Class,1,2,3
17/1/2011,Second Class,1,2,3
17/1/2011,Second Class,1,2,3
19/1/2011,Second Class,1,3,3
20/1/2011,First Class,1,1,1
20/1/2011,First Class,1,1,1
20/1/2011,First Class,1,1,1
20/1/2011,First Class,1,1,1
21/1/2011,Standard Class,1,5,6
21/1/2011,Standard Class,1,5,6
21/1/2011,Standard Class,1,6,6
21/1/2011,Standard Class,1,6,6
21/1/2011,Standard Class,1,6,6
21/1/2011,Standard Class,1,6,6
21/1/2011,Standard Class,1,6,6
21/1/2011,Standard Class,1,6,6
21/1/2011,Standard Class,1,6,6
21/1/2011,Standard Class,1,6,6
21/1/2011,Standard Class,1,6,6
21/1/2011,Standard Class,1,6,6
21/1/2011,Standard Class,1,6,6
21/1/2011,Standard Class,1,6,6
21/1/2011,Standard Class,1,6,6
21/1/2011,Standard Class,1,6,6
21/1/2011,Standard Class,1,6,6
22/1/2011,Second Class,1,2,3
24/1/2011,Standard Class,1,4,6
24/1/2011,Standard Class,1,5,6
27/1/2011,First Class,1,3,1
27/1/2011,First Class,1,3,1
27/1/2011,Standard Class,1,5,6
27/1/2011,Standard Class,1,5,6
27/1/2011,Standard Class,1,5,6
27/1/2011,Standard Class,1,5,6
27/1/2011,Standard Class,1,5,6
27/1/2011,Standard Class,1,5,6
27/1/2011,Standard Class,1,5,6
28/1/2011,Standard Class,1,6,6
28/1/2011,Standard Class,1,6,6
28/1/2011,Standard Class,1,6,6
29/1/2011,Standard Class,1,6,6
31/1/2011,Standard Class,1,5,6
31/1/2011,Standard Class,1,5,6
1/2/2011,First Class,1,2,1
2/2/2011,First Class,1,2,1
3/2/2011,Standard Class,1,4,6
3/2/2011,Standard Class,1,7,6
3/2/2011,Standard Class,1,7,6
4/2/2011,Second Class,1,3,3
4/2/2011,Second Class,1,3,3
5/2/2011,Second Class,1,4,3
5/2/2011,Standard Class,1,4,6
5/2/2011,Standard Class,1,4,6
7/2/2011,First Class,1,3,1
7/2/2011,First Class,1,3,1
7/2/2011,First Class,1,3,1
7/2/2011,Second Class,1,4,3
8/2/2011,Second Class,1,3,3
8/2/2011,Standard Class,1,5,6
9/2/2011,First Class,1,1,1
12/2/2011,Second Class,1,4,3
12/2/2011,Second Class,1,4,3
12/2/2011,Standard Class,1,4,6
12/2/2011,Second Class,1,4,3
12/2/2011,Second Class,1,4,3
12/2/2011,Second Class,1,4,3
12/2/2011,Second Class,1,4,3
12/2/2011,Standard Class,1,4,6
12/2/2011,Standard Class,1,4,6
13/2/2011,Standard Class,1,6,6
15/2/2011,Standard Class,1,4,6
15/2/2011,Standard Class,1,4,6
15/2/2011,Standard Class,1,4,6
15/2/2011,Second Class,1,5,3
16/2/2011,Standard Class,1,4,6
17/2/2011,Standard Class,1,5,6
17/2/2011,Standard Class,1,5,6
18/2/2011,Standard Class,1,7,6
19/2/2011,Same Day,1,0,0
19/2/2011,Standard Class,1,6,6
21/2/2011,Standard Class,1,4,6
21/2/2011,Standard Class,1,6,6
21/2/2011,Standard Class,1,6,6
22/2/2011,Standard Class,1,4,6
23/2/2011,First Class,1,2,1
24/2/2011,Standard Class,1,4,6
24/2/2011,Standard Class,1,4,6
25/2/2011,Standard Class,1,5,6
25/2/2011,Standard Class,1,5,6
28/2/2011,First Class,1,3,1
1/3/2011,Standard Class,1,4,6
1/3/2011,Standard Class,1,4,6
1/3/2011,Standard Class,1,4,6
1/3/2011,Standard Class,1,4,6
1/3/2011,Standard Class,1,4,6
1/3/2011,Standard Class,1,4,6
1/3/2011,Standard Class,1,4,6
1/3/2011,Second Class,1,5,3
1/3/2011,Standard Class,1,6,6
1/3/2011,Standard Class,1,6,6
