Customer ID,Segment,Category,Sales,Quantity,Discount,Profit
CG-12520,Consumer,Furniture,261.96,2,0,41.91
CG-12520,Consumer,Furniture,731.94,3,0,219.58
DV-13045,Corporate,Office Supplies,14.62,2,0,6.87
SO-20335,Consumer,Furniture,957.5775,5,0.45,-383.03
SO-20335,Consumer,Office Supplies,22.368,2,0.2,2.52
BH-11710,Consumer,Furniture,48.86,7,0,14.17
BH-11710,Consumer,Office Supplies,7.28,4,0,1.97
BH-11710,Consumer,Technology,907.152,6,0.2,90.72
BH-11710,Consumer,Office Supplies,18.504,3,0.2,5.78
BH-11710,Consumer,Office Supplies,114.9,5,0,34.47
BH-11710,Consumer,Furniture,1706.184,9,0.2,85.31
BH-11710,Consumer,Technology,911.424,4,0.2,68.36
AA-10480,Consumer,Office Supplies,15.552,3,0.2,5.44
IM-15070,Consumer,Office Supplies,407.976,3,0.2,132.59
HP-14815,Home Office,Office Supplies,68.81,5,0.8,-123.86
HP-14815,Home Office,Office Supplies,2.544,3,0.8,-3.82
PK-19075,Consumer,Office Supplies,665.88,6,0,13.32
AG-10270,Consumer,Office Supplies,55.5,2,0,9.99
ZD-21925,Consumer,Office Supplies,8.56,2,0,2.48
ZD-21925,Consumer,Technology,213.48,3,0.2,16.01
ZD-21925,Consumer,Office Supplies,22.72,4,0.2,7.38
KB-16585,Corporate,Office Supplies,19.46,7,0,5.06
KB-16585,Corporate,Office Supplies,60.34,7,0,15.69
SF-20065,Consumer,Furniture,71.372,2,0.3,-1.02
EB-13870,Consumer,Furniture,1044.63,3,0,240.26
EH-13945,Consumer,Office Supplies,11.648,2,0.2,4.22
EH-13945,Consumer,Technology,90.57,3,0,11.77
TB-21520,Consumer,Furniture,3083.43,7,0.5,-1665.05
TB-21520,Consumer,Office Supplies,9.618,2,0.7,-7.05
TB-21520,Consumer,Furniture,124.2,3,0.2,15.53
TB-21520,Consumer,Office Supplies,3.264,2,0.2,1.1
TB-21520,Consumer,Office Supplies,86.304,6,0.2,9.71
TB-21520,Consumer,Office Supplies,6.858,6,0.7,-5.72
TB-21520,Consumer,Office Supplies,15.76,2,0.2,3.55
MA-17560,Home Office,Office Supplies,29.472,3,0.2,9.95
GH-14485,Corporate,Technology,1097.544,7,0.2,123.47
GH-14485,Corporate,Furniture,190.92,5,0.6,-147.96
SN-20710,Home Office,Office Supplies,113.328,9,0.2,35.42
SN-20710,Home Office,Furniture,532.3992,3,0.32,-46.98
SN-20710,Home Office,Furniture,212.058,3,0.3,-15.15
SN-20710,Home Office,Technology,371.168,4,0.2,41.76
LC-16930,Corporate,Technology,147.168,4,0.2,16.56
RA-19885,Corporate,Office Supplies,77.88,2,0,3.89
ES-14080,Corporate,Office Supplies,95.616,2,0.2,9.56
ON-18715,Corporate,Technology,45.98,2,0,19.77
ON-18715,Corporate,Office Supplies,17.46,2,0,8.21
PO-18865,Consumer,Office Supplies,211.96,4,0,8.48
LH-16900,Consumer,Technology,45,3,0,4.95
LH-16900,Consumer,Technology,21.8,2,0,6.1
DP-13000,Consumer,Office Supplies,38.22,6,0,17.96
DP-13000,Consumer,Office Supplies,75.18,6,0,35.33
DP-13000,Consumer,Furniture,6.16,2,0,2.96
DP-13000,Consumer,Furniture,89.99,1,0,17.1
JM-15265,Corporate,Office Supplies,15.26,7,0,6.26
JM-15265,Corporate,Technology,1029.95,5,0,298.69
TB-21055,Consumer,Office Supplies,208.56,6,0,52.14
TB-21055,Consumer,Office Supplies,32.4,5,0,15.55
TB-21055,Consumer,Furniture,319.41,5,0.1,7.1
TB-21055,Consumer,Office Supplies,14.56,2,0,6.99
TB-21055,Consumer,Technology,30,2,0,3.3
TB-21055,Consumer,Office Supplies,48.48,4,0.2,16.36
TB-21055,Consumer,Office Supplies,1.68,1,0,0.84
KM-16720,Consumer,Technology,13.98,2,0,6.15
KM-16720,Consumer,Office Supplies,25.824,6,0.2,9.36
KM-16720,Consumer,Office Supplies,146.73,3,0,68.96
KM-16720,Consumer,Furniture,79.76,4,0,22.33
PS-18970,Home Office,Furniture,213.115,5,0.3,-15.22
BS-11590,Corporate,Office Supplies,1113.024,8,0.2,111.3
BS-11590,Corporate,Technology,167.968,4,0.2,62.99
KD-16270,Consumer,Office Supplies,75.88,2,0,35.66
