date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,prod_diff
2015-01-01,Quarter1,sweing,Thursday,8,0.8,26.16,1108.0,6960.0,50.0,0.0,0,0,59.0,0.940725424,0.140725424
2015-01-01,Quarter1,finishing,Thursday,1,0.75,3.94,1190.4659913169319,960.0,0.0,0.0,0,0,8.0,0.8865,0.13649999999999995
2015-01-01,Quarter1,sweing,Thursday,11,0.8,11.41,968.0,3660.0,50.0,0.0,0,0,30.5,0.800570492,0.0005704919999999225
2015-01-01,Quarter1,sweing,Thursday,12,0.8,11.41,968.0,3660.0,50.0,0.0,0,0,30.5,0.800570492,0.0005704919999999225
2015-01-01,Quarter1,sweing,Thursday,6,0.8,25.9,1170.0,1920.0,50.0,0.0,0,0,56.0,0.800381944,0.0003819439999999119
2015-01-01,Quarter1,sweing,Thursday,7,0.8,25.9,984.0,6720.0,38.0,0.0,0,0,56.0,0.800125,0.00012499999999993072
2015-01-01,Quarter1,finishing,Thursday,2,0.75,3.94,1190.4659913169319,960.0,0.0,0.0,0,0,8.0,0.755166667,0.005166667000000014
2015-01-01,Quarter1,sweing,Thursday,3,0.75,28.08,795.0,6900.0,45.0,0.0,0,0,57.5,0.753683478,0.003683478000000018
2015-01-01,Quarter1,sweing,Thursday,2,0.75,19.87,733.0,6000.0,34.0,0.0,0,0,55.0,0.753097531,0.0030975309999999867
2015-01-01,Quarter1,sweing,Thursday,1,0.75,28.08,681.0,6900.0,45.0,0.0,0,0,57.5,0.750427826,0.00042782600000002
2015-01-01,Quarter1,sweing,Thursday,9,0.7,28.08,872.0,6900.0,44.0,0.0,0,0,57.5,0.721126957,0.021126957000000002
2015-01-01,Quarter1,sweing,Thursday,10,0.75,19.31,578.0,6480.0,45.0,0.0,0,0,54.0,0.712205247,-0.037794753000000014
2015-01-01,Quarter1,sweing,Thursday,5,0.8,11.41,668.0,3660.0,50.0,0.0,0,0,30.5,0.707045902,-0.0929540980000001
2015-01-01,Quarter1,finishing,Thursday,10,0.65,3.94,1190.4659913169319,960.0,0.0,0.0,0,0,8.0,0.705916667,0.055916666999999975
2015-01-01,Quarter1,finishing,Thursday,8,0.75,2.9,1190.4659913169319,960.0,0.0,0.0,0,0,8.0,0.676666667,-0.073333333
2015-01-01,Quarter1,finishing,Thursday,4,0.75,3.94,1190.4659913169319,2160.0,0.0,0.0,0,0,18.0,0.593055556,-0.15694444399999996
2015-01-01,Quarter1,finishing,Thursday,7,0.8,2.9,1190.4659913169319,960.0,0.0,0.0,0,0,8.0,0.540729167,-0.2592708330000001
2015-01-01,Quarter1,sweing,Thursday,4,0.65,23.69,861.0,6960.0,0.0,0.0,0,0,60.0,0.52118,-0.12882000000000005
2015-01-01,Quarter1,finishing,Thursday,11,0.7,4.15,1190.4659913169319,1440.0,0.0,0.0,0,0,12.0,0.436326389,-0.263673611
2015-01-03,Quarter1,finishing,Saturday,4,0.8,4.15,1190.4659913169319,6600.0,0.0,0.0,0,0,20.0,0.988024691,0.18802469099999997
2015-01-03,Quarter1,finishing,Saturday,11,0.75,2.9,1190.4659913169319,5640.0,0.0,0.0,0,0,17.0,0.987880435,0.237880435
2015-01-03,Quarter1,finishing,Saturday,9,0.8,4.15,1190.4659913169319,960.0,0.0,0.0,0,0,8.0,0.956270833,0.156270833
2015-01-03,Quarter1,finishing,Saturday,3,0.75,3.94,1190.4659913169319,1560.0,0.0,0.0,0,0,8.0,0.945277778,0.195277778
2015-01-03,Quarter1,finishing,Saturday,1,0.8,3.94,1190.4659913169319,960.0,0.0,0.0,0,0,8.0,0.902916667,0.1029166669999999
2015-01-03,Quarter1,sweing,Saturday,1,0.8,28.08,772.0,6300.0,50.0,0.0,0,0,56.5,0.800725314,0.0007253139999999769
2015-01-03,Quarter1,sweing,Saturday,3,0.8,28.08,913.0,6540.0,50.0,0.0,0,0,54.5,0.800322936,0.0003229359999999959
2015-01-03,Quarter1,sweing,Saturday,8,0.8,26.16,1190.4659913169319,6960.0,50.0,0.0,0,0,59.0,0.800318644,0.00031864399999992354
2015-01-03,Quarter1,sweing,Saturday,12,0.8,26.16,844.0,6960.0,50.0,0.0,0,0,59.0,0.800318644,0.00031864399999992354
2015-01-03,Quarter1,sweing,Saturday,11,0.8,11.61,1005.0,6960.0,50.0,0.0,0,0,29.5,0.800237288,0.00023728800000000216
2015-01-03,Quarter1,sweing,Saturday,5,0.8,11.61,659.0,6960.0,50.0,0.0,0,0,31.5,0.800148649,0.0001486490000000007
2015-01-03,Quarter1,sweing,Saturday,6,0.8,25.9,1152.0,6720.0,50.0,0.0,0,0,56.0,0.800125,0.00012499999999993072
2015-01-03,Quarter1,sweing,Saturday,7,0.8,25.9,1138.0,6720.0,38.0,0.0,0,0,56.0,0.800125,0.00012499999999993072
2015-01-03,Quarter1,sweing,Saturday,10,0.75,19.31,610.0,6480.0,50.0,0.0,0,0,54.0,0.787299691,0.03729969099999997
2015-01-03,Quarter1,finishing,Saturday,2,0.8,4.15,1190.4659913169319,960.0,0.0,0.0,0,0,8.0,0.782447917,-0.017552082999999996
2015-01-03,Quarter1,sweing,Saturday,2,0.75,19.87,944.0,6600.0,45.0,0.0,0,0,55.0,0.75024303,0.00024303000000003294
2015-01-03,Quarter1,finishing,Saturday,10,0.7,4.15,1190.4659913169319,960.0,0.0,0.0,0,0,8.0,0.7018125,0.0018124999999999947
